Scan Index,Width,Height,Depth
0,240,240,155
1,240,240,155
2,240,240,155
3,240,240,155
4,240,240,155
5,240,240,155
6,240,240,155
7,240,240,155
8,240,240,155
9,240,240,155
10,240,240,155
11,240,240,155
12,240,240,155
13,240,240,155
14,240,240,155
15,240,240,155
16,240,240,155
17,240,240,155
18,240,240,155
19,240,240,155
20,240,240,155
21,240,240,155
22,240,240,155
23,240,240,155
24,240,240,155
25,240,240,155
26,240,240,155
27,240,240,155
28,240,240,155
29,240,240,155
30,240,240,155
31,240,240,155
32,240,240,155
33,240,240,155
34,240,240,155
35,240,240,155
36,240,240,155
37,240,240,155
38,240,240,155
39,240,240,155
40,240,240,155
41,240,240,155
42,240,240,155
43,240,240,155
44,240,240,155
45,240,240,155
46,240,240,155
47,240,240,155
48,240,240,155
49,240,240,155
50,240,240,155
51,240,240,155
52,240,240,155
53,240,240,155
54,240,240,155
55,240,240,155
56,240,240,155
57,240,240,155
58,240,240,155
59,240,240,155
60,240,240,155
61,240,240,155
62,240,240,155
63,240,240,155
64,240,240,155
65,240,240,155
66,240,240,155
67,240,240,155
68,240,240,155
69,240,240,155
70,240,240,155
71,240,240,155
72,240,240,155
73,240,240,155
74,240,240,155
75,240,240,155
76,240,240,155
77,240,240,155
78,240,240,155
79,240,240,155
80,240,240,155
81,240,240,155
82,240,240,155
83,240,240,155
84,240,240,155
85,240,240,155
86,240,240,155
87,240,240,155
88,240,240,155
89,240,240,155
90,240,240,155
91,240,240,155
92,240,240,155
93,240,240,155
94,240,240,155
95,240,240,155
96,240,240,155
97,240,240,155
98,240,240,155
99,240,240,155
100,240,240,155
101,240,240,155
102,240,240,155
103,240,240,155
104,240,240,155
105,240,240,155
106,240,240,155
107,240,240,155
108,240,240,155
109,240,240,155
110,240,240,155
111,240,240,155
112,240,240,155
113,240,240,155
114,240,240,155
115,240,240,155
116,240,240,155
117,240,240,155
118,240,240,155
119,240,240,155
120,240,240,155
121,240,240,155
122,240,240,155
123,240,240,155
124,240,240,155
125,240,240,155
126,240,240,155
127,240,240,155
128,240,240,155
129,240,240,155
130,240,240,155
131,240,240,155
132,240,240,155
133,240,240,155
134,240,240,155
135,240,240,155
136,240,240,155
137,240,240,155
138,240,240,155
139,240,240,155
140,240,240,155
141,240,240,155
