Scan Index,Width,Height,Depth
0,512,512,588
1,512,512,245
2,512,512,94
3,512,512,424
4,512,512,845
5,512,512,513
6,512,512,200
7,512,512,908
8,512,512,856
9,512,512,105
10,512,512,247
11,512,512,781
12,512,512,113
13,512,512,722
14,512,512,811
15,512,512,733
16,512,512,123
17,512,512,645
18,512,512,647
19,512,512,917
20,512,512,534
21,512,512,165
22,512,512,422
23,512,512,147
24,512,512,89
25,512,512,689
26,512,512,624
27,512,512,427
28,512,512,155
29,512,512,771
30,512,512,574
31,512,512,227
32,512,512,846
33,512,512,139
34,512,512,541
35,512,512,751
36,512,512,519
37,512,512,192
38,512,512,129
39,512,512,816
40,512,512,111
41,512,512,225
42,512,512,216
43,512,512,677
44,512,512,276
45,512,512,94
46,512,512,455
47,512,512,104
48,512,512,401
49,512,512,668
50,512,512,685
51,512,512,74
52,512,512,132
53,512,512,254
54,512,512,151
55,512,512,751
56,512,512,366
57,512,512,407
58,512,512,193
59,512,512,501
60,512,512,121
61,512,512,654
62,512,512,549
63,512,512,537
64,512,512,217
65,512,512,836
66,512,512,75
67,512,512,766
68,512,512,671
69,512,512,630
70,512,512,237
71,512,512,756
72,512,512,91
73,512,512,836
74,512,512,122
75,512,512,391
76,512,512,986
77,512,512,168
78,512,512,266
79,512,512,565
80,512,512,230
81,512,512,547
82,512,512,463
83,512,512,771
84,512,512,437
85,512,512,125
86,512,512,461
87,512,512,846
88,512,512,135
89,512,512,240
90,512,512,198
91,512,512,432
92,512,512,86
93,512,512,826
94,512,512,107
95,512,512,517
96,512,512,896
97,512,512,629
98,512,512,841
99,512,512,605
100,512,512,333
101,512,512,987
102,512,512,188
103,512,512,761
104,512,512,122
105,512,512,172
106,512,512,96
107,512,512,683
108,512,512,601
109,512,512,212
110,512,512,124
111,512,512,751
112,512,512,871
113,512,512,518
114,512,512,343
115,512,512,696
116,512,512,541
117,512,512,841
118,512,512,244
119,512,512,410
120,512,512,338
121,512,512,93
122,512,512,466
123,512,512,260
124,512,512,119
125,512,512,861
126,512,512,683
127,512,512,239
128,512,512,124
129,512,512,836
130,512,512,244
