Scan Index,Width,Height,Depth
0,36,57,37
1,36,48,38
2,36,48,39
3,34,50,32
4,38,48,40
5,32,54,34
6,32,49,36
7,37,51,33
8,34,51,38
9,35,53,30
10,34,53,24
11,32,45,38
12,39,45,40
13,37,48,34
14,33,47,34
15,38,51,31
16,35,51,35
17,36,58,28
18,35,49,33
19,35,52,33
20,36,44,43
21,37,50,33
22,36,53,37
23,34,52,40
24,37,45,40
25,37,45,46
26,36,52,37
27,35,44,44
28,35,51,35
29,36,52,32
30,32,53,38
31,35,50,36
32,42,51,28
33,36,40,43
34,36,47,41
35,41,48,47
36,35,53,35
37,35,55,34
38,34,47,40
39,35,54,35
40,38,50,42
41,37,52,34
42,38,43,41
43,39,41,42
44,33,48,38
45,37,49,34
46,38,49,38
47,33,47,37
48,35,44,41
49,36,49,31
50,35,48,32
51,36,49,36
52,37,47,42
53,37,55,34
54,37,53,33
55,35,49,37
56,33,59,29
57,37,51,33
58,31,54,34
59,35,55,33
60,35,55,32
61,34,49,37
62,37,52,26
63,33,52,27
64,32,51,31
65,34,51,31
66,34,49,36
67,34,49,39
68,38,47,37
69,33,53,28
70,34,48,35
71,37,50,38
72,34,48,40
73,36,52,32
74,35,51,35
75,38,51,37
76,35,46,42
77,34,51,32
78,37,47,32
79,35,46,42
80,34,53,36
81,38,52,36
82,38,52,33
83,35,48,35
84,43,42,39
85,36,49,38
86,36,51,32
87,32,51,28
88,36,51,29
89,36,49,41
90,35,48,42
91,32,49,30
92,37,56,36
93,37,43,43
94,34,50,34
95,32,52,34
96,34,47,36
97,33,52,37
98,38,49,36
99,34,51,33
100,35,46,39
101,36,50,33
102,36,58,33
103,34,48,40
104,35,52,38
105,34,49,35
106,33,47,38
107,38,54,30
108,37,48,36
109,33,49,40
110,34,47,43
111,37,57,35
112,33,51,28
113,35,49,35
114,37,48,37
115,34,53,37
116,33,50,29
117,35,56,34
118,38,52,35
119,36,51,35
120,34,53,35
121,34,51,26
122,39,52,31
123,34,52,35
124,34,56,31
125,36,50,31
126,38,48,33
127,34,45,43
128,34,53,34
129,35,49,40
130,38,51,33
131,38,55,31
132,36,52,36
133,41,47,42
134,34,48,32
135,38,52,29
136,32,49,38
137,35,47,37
138,37,52,32
139,36,45,39
140,38,50,39
141,39,50,40
142,33,44,40
143,35,47,45
144,35,52,34
145,34,46,38
146,39,52,37
147,34,49,29
148,37,50,39
149,35,49,40
150,33,51,32
151,37,51,35
152,32,54,34
153,35,53,36
154,33,44,42
155,36,51,34
156,34,46,34
157,32,48,34
158,34,47,39
159,38,52,34
160,37,54,36
161,40,52,35
162,34,52,37
163,33,51,37
164,37,51,33
165,33,46,38
166,35,51,36
167,35,49,34
168,35,52,34
169,32,47,32
170,34,49,30
171,37,47,34
172,33,51,34
173,38,53,27
174,38,48,39
175,35,40,40
176,34,52,38
177,37,55,26
178,38,51,35
179,37,48,34
180,33,47,42
181,35,52,33
182,35,46,38
183,35,50,30
184,35,52,37
185,38,50,38
186,35,55,37
187,35,50,33
188,38,55,40
189,34,51,37
190,35,49,33
191,38,51,37
192,37,45,39
193,33,48,34
194,35,53,33
195,36,42,41
196,36,52,38
197,35,53,39
198,33,47,35
199,32,47,41
200,36,53,37
201,36,48,40
202,32,45,41
203,34,49,32
204,35,49,36
205,34,51,30
206,36,46,43
207,33,54,39
208,36,50,40
209,35,48,40
210,35,53,29
211,34,49,37
212,34,49,38
213,35,48,38
214,36,50,34
215,37,49,37
216,38,53,30
217,36,54,27
218,37,52,30
219,36,47,36
220,37,50,40
221,36,51,37
222,37,58,35
223,32,47,41
224,36,50,38
225,34,53,37
226,36,47,39
227,34,49,41
228,33,49,37
229,36,51,31
230,35,55,41
231,38,52,33
232,35,56,28
233,36,47,44
234,39,44,43
235,36,50,36
236,32,46,42
237,37,51,35
238,36,53,33
239,36,48,37
240,36,49,40
241,33,55,29
242,35,51,36
243,33,49,32
244,35,51,34
245,36,51,35
246,36,55,32
247,35,51,36
248,35,53,32
249,35,50,36
250,31,50,36
251,37,45,36
252,33,44,41
253,33,50,35
254,34,53,32
255,36,50,32
256,35,51,40
257,33,53,26
258,38,49,28
259,35,50,34
