Scan Index,Width,Height,Depth
0,320,320,20
1,320,320,16
2,320,320,20
3,320,320,20
4,320,320,20
5,256,256,18
6,320,320,20
7,320,320,20
8,256,256,18
9,320,320,16
10,320,320,20
11,320,320,20
12,320,320,24
13,320,320,20
14,320,320,20
15,384,384,16
16,320,320,16
17,320,320,22
18,320,320,20
19,320,320,20
20,320,320,20
21,320,320,20
22,320,320,20
23,320,320,20
24,320,320,20
25,320,320,16
26,320,320,20
27,320,320,20
28,320,320,20
29,320,320,19
30,320,320,16
31,256,256,16
