Scan Index,Width,Height,Depth
0,512,512,252
1,512,512,483
2,512,512,240
3,512,512,242
4,512,512,589
5,512,512,567
6,512,512,128
7,512,512,273
8,512,512,251
9,512,512,241
10,512,512,267
11,512,512,129
12,512,512,314
13,512,512,155
14,512,512,251
15,512,512,276
16,512,512,423
17,512,512,228
18,512,512,289
19,512,512,251
20,512,512,242
21,512,512,271
22,512,512,636
23,512,512,218
24,512,512,211
25,512,512,241
26,512,512,493
27,512,512,227
28,512,512,125
29,512,512,252
30,512,512,296
31,512,512,291
32,512,512,112
33,512,512,450
34,512,512,245
35,512,512,277
36,512,512,248
37,512,512,304
38,512,512,531
39,512,512,329
40,512,512,115
41,512,512,241
42,512,512,301
43,512,512,369
44,512,512,125
45,512,512,260
46,512,512,231
47,512,512,126
48,512,512,241
49,512,512,255
50,512,512,241
51,512,512,376
52,512,512,226
53,512,512,266
54,512,512,304
55,512,512,243
56,512,512,256
57,512,512,249
58,512,512,228
59,512,512,282
60,512,512,264
61,512,512,322
62,512,512,288
