Scan Index,Width,Height,Depth
0,512,512,97
1,512,512,126
2,512,512,84
3,512,512,42
4,512,512,121
5,512,512,60
6,512,512,111
7,512,512,73
8,512,512,75
9,512,512,90
10,512,512,95
11,512,512,57
12,512,512,97
13,512,512,75
14,512,512,85
15,512,512,89
16,512,512,86
17,512,512,105
18,512,512,99
19,512,512,95
20,512,512,113
21,512,512,87
22,512,512,92
23,512,512,47
24,512,512,81
25,512,512,89
26,512,512,116
27,512,512,89
28,512,512,88
29,512,512,93
30,512,512,97
31,512,512,113
32,512,512,83
33,512,512,68
34,512,512,161
35,512,512,93
36,512,512,81
37,512,512,104
38,512,512,71
39,512,512,89
40,512,512,57
41,512,512,169
42,512,512,84
43,512,512,44
44,512,512,123
45,512,512,76
46,512,512,91
47,512,512,83
48,512,512,81
49,512,512,44
50,512,512,72
51,512,512,85
52,512,512,63
53,512,512,71
54,512,512,97
55,512,512,44
56,512,512,99
57,512,512,91
58,512,512,66
59,512,512,93
60,512,512,75
61,512,512,57
62,512,512,102
63,512,512,103
64,512,512,100
65,512,512,106
66,512,512,103
67,512,512,98
68,512,512,110
69,512,512,95
70,512,512,89
71,512,512,77
72,512,512,96
73,512,512,95
74,512,512,48
75,512,512,134
76,512,512,94
77,512,512,77
78,512,512,93
79,512,512,99
80,512,512,101
81,512,512,109
82,512,512,113
83,512,512,97
84,512,512,109
85,512,512,55
86,512,512,105
87,512,512,99
88,512,512,94
89,512,512,81
90,512,512,98
91,512,512,104
92,512,512,110
93,512,512,76
94,512,512,95
95,512,512,96
96,512,512,134
97,512,512,99
98,512,512,37
99,512,512,43
100,512,512,93
101,512,512,57
102,512,512,51
103,512,512,85
104,512,512,85
105,512,512,87
106,512,512,85
107,512,512,85
108,512,512,93
109,512,512,102
110,512,512,103
111,512,512,93
112,512,512,89
113,512,512,59
114,512,512,81
115,512,512,93
116,512,512,45
117,512,512,56
118,512,512,97
119,512,512,91
120,512,512,51
121,512,512,86
122,512,512,164
123,512,512,91
124,512,512,73
125,512,512,107
126,512,512,88
127,512,512,104
128,512,512,89
129,512,512,93
130,512,512,73
131,512,512,384
132,512,512,80
133,512,512,113
134,512,512,105
135,512,512,117
136,512,512,89
137,512,512,98
138,512,512,95
139,512,512,87
140,512,512,79
141,512,512,101
142,512,512,81
143,512,512,89
144,512,512,93
145,512,512,81
146,512,512,92
147,512,512,751
148,512,512,89
149,512,512,79
150,512,512,103
151,512,512,107
152,512,512,95
153,512,512,95
154,512,512,91
155,512,512,131
156,512,512,87
157,512,512,76
158,512,512,83
159,512,512,76
160,512,512,48
161,512,512,92
162,512,512,93
163,512,512,98
164,512,512,174
165,512,512,81
166,512,512,89
167,512,512,73
168,512,512,97
169,512,512,95
170,512,512,93
171,512,512,41
172,512,512,107
173,512,512,87
174,512,512,77
175,512,512,77
176,512,512,87
177,512,512,97
178,512,512,98
179,512,512,83
180,512,512,96
181,512,512,95
182,512,512,85
183,512,512,119
184,512,512,82
185,512,512,107
186,512,512,105
187,512,512,90
188,512,512,105
189,512,512,92
190,512,512,61
191,512,512,112
192,512,512,103
193,512,512,99
194,512,512,89
195,512,512,89
196,512,512,84
197,512,512,84
198,512,512,79
199,512,512,89
200,512,512,44
201,512,512,40
202,512,512,106
203,512,512,113
204,512,512,93
205,512,512,87
206,512,512,121
207,512,512,39
208,512,512,118
209,512,512,96
210,512,512,104
211,512,512,101
212,512,512,99
213,512,512,89
214,512,512,113
215,512,512,49
216,512,512,103
217,512,512,101
218,512,512,89
219,512,512,107
220,512,512,100
221,512,512,91
222,512,512,121
223,512,512,85
224,512,512,109
225,512,512,89
226,512,512,67
227,512,512,93
228,512,512,99
229,512,512,109
230,512,512,89
231,512,512,192
232,512,512,81
233,512,512,147
234,512,512,111
235,512,512,51
236,512,512,93
237,512,512,51
238,512,512,101
239,512,512,103
240,512,512,95
241,512,512,98
242,512,512,84
243,512,512,100
244,512,512,93
245,512,512,73
246,512,512,97
247,512,512,121
248,512,512,107
249,512,512,137
250,512,512,115
251,512,512,95
252,512,512,104
253,512,512,117
254,512,512,92
255,512,512,108
256,512,512,117
257,512,512,85
258,512,512,101
259,512,512,103
260,512,512,82
261,512,512,97
262,512,512,120
263,512,512,89
264,512,512,98
265,512,512,130
266,512,512,50
267,512,512,83
268,512,512,58
269,512,512,142
270,512,512,97
271,512,512,105
272,512,512,137
273,512,512,87
274,512,512,97
275,512,512,98
276,512,512,81
277,512,512,101
278,512,512,55
279,512,512,85
280,512,512,87
