Scan Index,Width,Height,Depth
0,512,512,49
1,512,512,66
2,512,512,43
3,512,512,41
4,512,512,50
5,512,512,47
6,512,512,49
7,512,512,37
8,512,512,37
9,512,512,36
10,512,512,36
11,512,512,45
12,512,512,39
13,512,512,43
14,512,512,56
15,512,512,59
16,512,512,52
17,512,512,49
18,512,512,40
19,512,512,43
20,512,512,39
21,512,512,108
22,512,512,60
23,512,512,138
24,512,512,45
25,512,512,44
26,512,512,45
27,512,512,41
28,512,512,86
29,512,512,26
30,512,512,41
31,512,512,34
32,512,512,30
33,512,512,42
34,512,512,38
35,512,512,33
36,512,512,37
37,512,512,42
38,512,512,40
39,512,512,39
40,512,512,49
41,512,512,40
42,512,512,40
43,512,512,49
44,512,512,37
45,512,512,44
46,512,512,37
47,512,512,39
48,512,512,47
49,512,512,92
50,512,512,45
51,512,512,54
52,512,512,50
53,512,512,54
54,512,512,45
55,512,512,36
56,512,512,38
57,512,512,39
58,512,512,56
59,512,512,47
60,512,512,45
61,512,512,45
62,512,512,36
63,512,512,41
64,512,512,41
65,512,512,154
66,512,512,45
67,512,512,37
68,512,512,46
69,512,512,37
70,512,512,45
71,512,512,49
72,512,512,42
73,512,512,49
74,512,512,32
75,512,512,44
76,512,512,37
77,512,512,39
78,512,512,37
79,512,512,53
80,512,512,43
81,512,512,39
82,512,512,55
83,512,512,52
84,512,512,45
85,512,512,81
86,512,512,48
87,512,512,59
88,512,512,48
89,512,512,55
90,512,512,44
91,512,512,44
92,512,512,53
93,512,512,117
94,512,512,50
95,512,512,46
96,512,512,144
97,512,512,50
98,512,512,50
99,512,512,48
100,512,512,58
101,512,512,58
102,512,512,51
103,512,512,177
104,512,512,52
105,512,512,42
106,512,512,54
107,512,512,46
108,512,512,46
109,512,512,39
110,512,512,36
111,512,512,30
112,512,512,81
113,512,512,61
114,512,512,107
115,512,512,54
116,512,512,151
117,512,512,121
118,512,512,105
119,512,512,32
120,512,512,82
121,512,512,36
122,512,512,43
123,512,512,32
124,512,512,53
125,512,512,71
126,512,512,31
127,512,512,46
128,512,512,40
129,512,512,54
130,512,512,102
131,512,512,42
132,512,512,34
133,512,512,38
134,512,512,44
135,512,512,60
136,512,512,30
137,512,512,52
138,512,512,30
139,512,512,47
140,512,512,47
141,512,512,95
142,512,512,82
143,512,512,105
144,512,512,88
145,512,512,164
146,512,512,52
147,512,512,174
148,512,512,99
149,512,512,52
150,512,512,47
151,512,512,50
152,512,512,164
153,512,512,37
154,512,512,49
155,512,512,99
156,512,512,45
157,512,512,41
158,512,512,42
159,512,512,34
160,512,512,45
161,512,512,40
162,512,512,51
163,512,512,52
164,512,512,38
165,512,512,32
166,512,512,45
167,512,512,104
168,512,512,171
169,512,512,35
170,512,512,34
171,512,512,65
172,512,512,24
173,512,512,24
174,512,512,131
175,512,512,146
176,512,512,51
177,512,512,127
178,512,512,63
179,512,512,161
180,512,512,51
181,512,512,41
182,512,512,51
183,512,512,51
184,512,512,148
185,512,512,141
186,512,512,47
187,512,512,158
188,512,512,131
189,512,512,35
190,512,512,174
191,512,512,83
192,512,512,145
193,512,512,27
194,512,512,30
195,512,512,40
196,512,512,164
197,512,512,164
198,512,512,26
199,512,512,45
200,512,512,143
201,512,512,44
202,512,512,168
203,512,512,41
204,512,512,48
205,512,512,144
206,512,512,38
207,512,512,35
208,512,512,121
209,512,512,141
210,512,512,47
211,512,512,45
212,512,512,58
213,512,512,144
214,512,512,151
215,512,512,43
216,512,512,37
217,512,512,52
218,512,512,161
219,512,512,120
220,512,512,41
221,512,512,44
222,512,512,49
223,512,512,174
224,512,512,154
225,512,512,109
226,512,512,55
227,512,512,49
228,512,512,42
229,512,512,141
230,512,512,49
231,512,512,99
232,512,512,155
233,512,512,136
234,512,512,30
235,512,512,171
236,512,512,56
237,512,512,24
238,512,512,141
239,512,512,47
240,512,512,50
241,512,512,114
242,512,512,40
243,512,512,44
244,512,512,89
245,512,512,151
246,512,512,43
247,512,512,105
248,512,512,80
249,512,512,141
250,512,512,178
251,512,512,38
252,512,512,161
253,512,512,50
254,512,512,181
255,512,512,158
256,512,512,61
257,512,512,42
258,512,512,151
259,512,512,47
260,512,512,47
261,512,512,55
262,512,512,53
263,512,512,161
264,512,512,34
265,512,512,131
266,512,512,49
267,512,512,30
268,512,512,148
269,512,512,33
270,512,512,144
271,512,512,49
272,512,512,138
273,512,512,134
274,512,512,37
275,512,512,152
276,512,512,41
277,512,512,134
278,512,512,47
279,512,512,27
280,512,512,134
281,512,512,34
282,512,512,30
283,512,512,134
284,512,512,48
285,512,512,148
286,512,512,34
287,512,512,55
288,512,512,138
289,512,512,52
290,512,512,97
291,512,512,49
292,512,512,48
293,512,512,128
294,512,512,87
295,512,512,168
296,512,512,47
297,512,512,50
298,512,512,50
299,512,512,31
300,512,512,47
301,512,512,114
302,512,512,169
