Scan Index,Width,Height,Depth
0,512,512,51
1,512,512,56
2,512,512,112
3,512,512,93
4,512,512,40
5,512,512,95
6,512,512,89
7,512,512,83
8,512,512,41
9,512,512,103
10,512,512,99
11,512,512,87
12,512,512,77
13,512,512,80
14,512,512,119
15,512,512,92
16,512,512,33
17,512,512,97
18,512,512,90
19,512,512,156
20,512,512,94
21,512,512,148
22,512,512,54
23,512,512,164
24,512,512,168
25,512,512,104
26,512,512,61
27,512,512,168
28,512,512,60
29,512,512,44
30,512,512,94
31,512,512,50
32,512,512,88
33,512,512,31
34,512,512,135
35,512,512,101
36,512,512,55
37,512,512,100
38,512,512,112
39,512,512,65
40,512,512,61
