Scan Index,Width,Height,Depth
0,512,512,137
1,512,512,84
2,512,512,92
3,512,512,103
4,512,512,110
5,512,512,101
6,512,512,51
7,512,512,102
8,512,512,102
9,512,512,93
10,512,512,86
11,512,512,90
12,512,512,149
13,512,512,44
14,512,512,89
15,512,512,76
16,512,512,90
17,512,512,104
18,512,512,90
19,512,512,112
20,512,512,137
21,512,512,93
22,512,512,68
23,512,512,142
24,512,512,178
25,512,512,166
26,512,512,107
27,512,512,258
28,512,512,45
29,512,512,100
30,512,512,96
31,512,512,85
32,512,512,91
33,512,512,94
34,512,512,95
35,512,512,96
36,512,512,95
37,512,512,85
38,512,512,146
39,512,512,87
40,512,512,41
41,512,512,82
42,512,512,85
43,512,512,41
44,512,512,81
45,512,512,98
46,512,512,59
47,512,512,90
48,512,512,87
49,512,512,154
50,512,512,40
51,512,512,106
52,512,512,94
53,512,512,98
54,512,512,119
55,512,512,88
56,512,512,205
57,512,512,100
58,512,512,153
59,512,512,44
60,512,512,95
61,512,512,95
62,512,512,127
63,512,512,114
64,512,512,97
65,512,512,145
66,512,512,90
67,512,512,80
68,512,512,98
69,512,512,95
70,512,512,92
71,512,512,87
72,512,512,195
73,512,512,113
74,512,512,142
75,512,512,102
76,512,512,55
77,512,512,96
78,512,512,94
79,512,512,86
80,512,512,102
81,512,512,90
82,512,512,44
83,512,512,306
84,512,512,149
85,512,512,94
86,512,512,90
87,512,512,98
88,512,512,37
89,512,512,90
90,512,512,74
91,512,512,102
92,512,512,113
93,512,512,97
94,512,512,54
95,512,512,80
96,512,512,124
97,512,512,140
98,512,512,100
99,512,512,89
100,512,512,729
101,512,512,124
102,512,512,98
103,512,512,82
104,512,512,93
105,512,512,79
106,512,512,194
107,512,512,87
108,512,512,173
109,512,512,38
110,512,512,81
111,512,512,100
112,512,512,48
113,512,512,90
114,512,512,148
115,512,512,87
116,512,512,123
117,512,512,87
118,512,512,119
119,512,512,126
120,512,512,53
121,512,512,99
122,512,512,60
123,512,512,104
124,512,512,88
125,512,512,171
